date,location,species,latinName,id,latitude,longitude
2013-09-15T22:59:01,Leeds,Southern rodent tick,Ixodes acuminatus,44,53.803938890324346,-1.5130213878800185
2012-06-22T12:35:09,Sheffield,Tree-hole tick,Ixodes arboricola,45,53.34677987598351,-1.4573059901977863
2015-04-08T07:26:58,Glasgow,Marsh tick,Ixodes apronophorus,46,55.82274152039718,-4.277656196363805
2019-07-14T11:32:39,Manchester,Tree-hole tick,Ixodes arboricola,47,53.453807591310145,-2.2937599415309293
2014-12-22T01:09:21,Leicester,Passerine tick,Dermacentor frontalis,48,52.665128737162874,-1.1339175241003476
2014-04-08T23:45:52,London,Fox/badger tick,Ixodes canisuga,49,51.50825137440398,-0.08282115912795307
2017-08-04T12:32:38,Sheffield,Passerine tick,Dermacentor frontalis,50,53.3841057497788,-1.4757302452795578
2018-05-18T23:05:24,Bristol,Southern rodent tick,Ixodes acuminatus,51,51.481382003506546,-2.581538134499125
2016-06-09T03:33:16,Bristol,Passerine tick,Dermacentor frontalis,52,51.41360339136879,-2.538580971261704
2018-02-07T07:57:13,Southampton,Passerine tick,Dermacentor frontalis,53,50.89733307651371,-1.4359229717413777
2015-11-08T01:49:49,Manchester,Marsh tick,Ixodes apronophorus,54,53.49775517321176,-2.257832153548403
2014-06-30T23:26:17,Edinburgh,Fox/badger tick,Ixodes canisuga,55,55.97467779212353,-3.16860461654202
2017-03-26T23:32:49,Birmingham,Passerine tick,Dermacentor frontalis,56,52.46113569349007,-1.9216395383529175
2022-12-19T00:07:22,Manchester,Fox/badger tick,Ixodes canisuga,57,53.440415354431764,-2.2120726536306696
2022-11-22T12:58:19,Nottingham,Fox/badger tick,Ixodes canisuga,58,52.9484012481369,-1.1492762734673532
2019-03-25T11:22:26,Leeds,Tree-hole tick,Ixodes arboricola,59,53.8450859614436,-1.5945180916389403
2020-01-23T18:54:10,Newcastle,Southern rodent tick,Ixodes acuminatus,60,55.007287513046556,-1.6290461853867868
2012-07-26T06:51:23,Cardiff,Fox/badger tick,Ixodes canisuga,61,51.50217031685904,-3.2069391008025603
2023-08-31T14:01:58,Manchester,Passerine tick,Dermacentor frontalis,62,53.48589020790193,-2.218651880676972
2013-12-29T14:55:23,Birmingham,Southern rodent tick,Ixodes acuminatus,63,52.50574596210313,-1.9477460818102412
2013-08-08T00:19:41,Glasgow,Passerine tick,Dermacentor frontalis,64,55.88562619640891,-4.231553404610767
2023-04-02T10:43:00,Birmingham,Passerine tick,Dermacentor frontalis,65,52.47074530661258,-1.9444659341779453
2020-01-18T10:49:41,Glasgow,Marsh tick,Ixodes apronophorus,66,55.89556267073588,-4.272098224196956
2024-09-12T05:39:11,Southampton,Fox/badger tick,Ixodes canisuga,67,50.905445468219646,-1.3832307543126887
2022-10-11T01:07:23,Nottingham,Tree-hole tick,Ixodes arboricola,68,52.982739466755945,-1.1558110138562292
2013-12-23T04:25:43,Newcastle,Southern rodent tick,Ixodes acuminatus,69,54.94802731065932,-1.6329112762569682
2015-05-02T01:53:53,Southampton,Marsh tick,Ixodes apronophorus,70,50.907268340717934,-1.4121123088186784
2019-11-19T13:19:46,Cardiff,Tree-hole tick,Ixodes arboricola,71,51.488209729167544,-3.1384638808494687
2016-11-05T06:50:53,Bristol,Passerine tick,Dermacentor frontalis,72,51.433619577941556,-2.543885141551351
2015-12-04T18:43:16,Liverpool,Southern rodent tick,Ixodes acuminatus,73,53.42580720001709,-3.010408943841307
2020-09-05T15:39:10,Manchester,Tree-hole tick,Ixodes arboricola,74,53.43739165958284,-2.232909303421421
2020-11-12T20:33:17,London,Passerine tick,Dermacentor frontalis,75,51.502242018459604,-0.1598145877283084
2024-07-05T06:44:51,Southampton,Marsh tick,Ixodes apronophorus,76,50.85979468673141,-1.4418820093174685
2013-06-27T08:24:19,Liverpool,Marsh tick,Ixodes apronophorus,77,53.43328401565217,-2.939533353735091
2021-07-31T19:24:24,London,Marsh tick,Ixodes apronophorus,78,51.534442079716925,-0.12800302134929303
2022-07-17T04:22:02,Edinburgh,Southern rodent tick,Ixodes acuminatus,79,55.918657455386594,-3.222420491802193
2023-03-14T20:26:58,London,Passerine tick,Dermacentor frontalis,80,51.474888116430726,-0.13086438805595743
2023-08-08T23:36:14,London,Tree-hole tick,Ixodes arboricola,81,51.514970640056255,-0.1606427026460727
2015-05-09T06:41:08,Cardiff,Tree-hole tick,Ixodes arboricola,82,51.51175857559307,-3.1627621615752086
2017-09-29T15:51:12,Bristol,Passerine tick,Dermacentor frontalis,83,51.50001937949275,-2.5466355602087463
2022-11-12T08:17:01,Birmingham,Fox/badger tick,Ixodes canisuga,84,52.49404506528719,-1.9437673994381668
2015-04-30T13:08:43,Leeds,Tree-hole tick,Ixodes arboricola,85,53.80907225390438,-1.5345321676314754
2024-03-13T01:18:27,Southampton,Southern rodent tick,Ixodes acuminatus,86,50.87588829656175,-1.3802012124003842
2023-04-08T02:41:39,Leeds,Passerine tick,Dermacentor frontalis,87,53.78223805882763,-1.5250953062460204
2012-09-01T00:11:36,London,Passerine tick,Dermacentor frontalis,88,51.46260478007936,-0.11903066513559526
2013-05-04T21:24:56,Sheffield,Tree-hole tick,Ixodes arboricola,89,53.39063365542911,-1.481241456378192
2014-12-22T01:09:21,Leicester,Passerine tick,Dermacentor frontalis,90,52.59646027325411,-1.136059836861273
2014-09-12T23:33:03,London,Southern rodent tick,Ixodes acuminatus,91,51.46798612985337,-0.1450932563928854
2022-05-01T12:31:27,Edinburgh,Tree-hole tick,Ixodes arboricola,92,55.983868849752355,-3.208108631701081
2016-01-05T13:17:11,Sheffield,Fox/badger tick,Ixodes canisuga,93,53.33611411313877,-1.4197997829556324
2021-03-19T12:44:44,Cardiff,Southern rodent tick,Ixodes acuminatus,94,51.44155374667431,-3.151066104620782
2012-03-06T22:35:59,Cardiff,Passerine tick,Dermacentor frontalis,95,51.48100886621943,-3.131784331968043
2015-05-19T07:09:40,Liverpool,Southern rodent tick,Ixodes acuminatus,96,53.35895625255054,-2.9641359419157953
2014-07-20T09:29:30,Birmingham,Passerine tick,Dermacentor frontalis,97,52.53360728719263,-1.890558370951669
2017-07-11T16:46:25,Southampton,Passerine tick,Dermacentor frontalis,98,50.955989140753715,-1.389298843895162
2012-11-09T03:28:28,Sheffield,Passerine tick,Dermacentor frontalis,99,53.36276332373031,-1.4603208781828927
2019-05-17T16:33:45,Edinburgh,Marsh tick,Ixodes apronophorus,100,55.97093741267596,-3.191352160939794
2021-06-08T00:05:04,Edinburgh,Passerine tick,Dermacentor frontalis,101,55.944728829712595,-3.194397219841733
2013-01-08T15:44:12,Birmingham,Southern rodent tick,Ixodes acuminatus,102,52.455597763575064,-1.8848873448966161
2024-07-05T06:44:51,Southampton,Marsh tick,Ixodes apronophorus,103,50.929365606468316,-1.4119377511576274
2017-10-18T02:32:27,Glasgow,Marsh tick,Ixodes apronophorus,104,55.8189931142301,-4.246115445342507
2023-08-31T14:01:58,Manchester,Passerine tick,Dermacentor frontalis,105,53.45608599704545,-2.245433170717822
2022-07-17T04:22:02,Edinburgh,Southern rodent tick,Ixodes acuminatus,106,55.905644398237335,-3.1495107302729908
2019-10-27T00:52:57,Cardiff,Tree-hole tick,Ixodes arboricola,107,51.44750647935128,-3.170058367974339
2015-07-05T09:49:58,Birmingham,Tree-hole tick,Ixodes arboricola,108,52.48765951829967,-1.9289143087658693
2024-07-08T01:47:29,Manchester,Fox/badger tick,Ixodes canisuga,109,53.49652820023033,-2.2816236392290414
2024-05-23T17:05:22,Glasgow,Marsh tick,Ixodes apronophorus,110,55.822762420303924,-4.223860245796682
2014-03-26T11:48:38,Liverpool,Marsh tick,Ixodes apronophorus,111,53.392956399325435,-2.9870120109566165
2023-08-08T23:36:14,London,Tree-hole tick,Ixodes arboricola,112,51.52082700431837,-0.14236876858299602
2012-01-15T21:00:06,Nottingham,Southern rodent tick,Ixodes acuminatus,113,52.91331632317271,-1.131237898970669
2024-04-11T22:17:48,Southampton,Southern rodent tick,Ixodes acuminatus,114,50.95509449633079,-1.409681989692615
2018-11-24T07:08:32,Glasgow,Tree-hole tick,Ixodes arboricola,115,55.817787734678454,-4.251198663253623
2012-08-20T19:15:53,Sheffield,Tree-hole tick,Ixodes arboricola,116,53.38885068355547,-1.4539174530031194
2023-12-11T13:59:50,Birmingham,Fox/badger tick,Ixodes canisuga,117,52.4864678299745,-1.8663609676599136
2020-11-22T16:01:36,Leicester,Passerine tick,Dermacentor frontalis,118,52.63371912271364,-1.1067861011616136
2018-08-19T15:55:00,Bristol,Tree-hole tick,Ixodes arboricola,119,51.44060754113916,-2.5412424873080512
2021-04-03T11:03:10,Glasgow,Passerine tick,Dermacentor frontalis,120,55.89815195151121,-4.216518659645771
2016-12-02T11:56:59,Edinburgh,Fox/badger tick,Ixodes canisuga,121,55.92922729158772,-3.2170915278232544
2012-07-02T14:27:07,Edinburgh,Southern rodent tick,Ixodes acuminatus,122,55.954864337307875,-3.168545847361445
2016-08-30T19:47:16,Glasgow,Passerine tick,Dermacentor frontalis,123,55.843864779695814,-4.297254996788153
2021-03-28T17:42:23,Leeds,Fox/badger tick,Ixodes canisuga,124,53.85125829303322,-1.5939297093913298
2014-12-13T15:04:33,London,Southern rodent tick,Ixodes acuminatus,125,51.49696910793489,-0.09550853045452562
2023-07-21T10:39:28,Leicester,Marsh tick,Ixodes apronophorus,126,52.61095863034381,-1.182427160041037
2012-02-25T05:50:29,Bristol,Passerine tick,Dermacentor frontalis,127,51.430228198051836,-2.6099972911880203
2021-12-01T12:20:08,Birmingham,Passerine tick,Dermacentor frontalis,128,52.492240891400236,-1.8604685211771996
2016-12-01T00:23:30,Leicester,Passerine tick,Dermacentor frontalis,129,52.67552405714698,-1.1585755450701498
2024-12-28T06:01:52,Birmingham,Southern rodent tick,Ixodes acuminatus,130,52.49084560579607,-1.911808476456172
2014-07-31T09:14:28,Nottingham,Tree-hole tick,Ixodes arboricola,131,52.91447890884581,-1.1533246810714408
2017-12-07T19:46:15,Nottingham,Tree-hole tick,Ixodes arboricola,132,52.975226707737285,-1.162028658205738
2023-02-06T03:44:16,Leicester,Passerine tick,Dermacentor frontalis,133,52.618680178923746,-1.1733356766892282
2014-05-23T13:45:01,Manchester,Passerine tick,Dermacentor frontalis,134,53.493089890907214,-2.1963251170025377
2015-02-27T23:23:08,Glasgow,Marsh tick,Ixodes apronophorus,135,55.901899266964584,-4.207333499771376
2024-03-13T14:34:43,Birmingham,Marsh tick,Ixodes apronophorus,136,52.47594156117655,-1.8869106877958155
2020-08-27T03:17:49,Leeds,Passerine tick,Dermacentor frontalis,137,53.79046047777571,-1.5267415461684737
2016-10-04T18:38:00,Cardiff,Fox/badger tick,Ixodes canisuga,138,51.458902057994486,-3.179202447699087
2017-01-02T10:07:09,Southampton,Marsh tick,Ixodes apronophorus,139,50.95242856831879,-1.395926665488704
2021-06-01T09:27:27,Liverpool,Fox/badger tick,Ixodes canisuga,140,53.43513373508769,-3.005055716231524
2021-01-10T05:53:11,Nottingham,Passerine tick,Dermacentor frontalis,141,52.985661254965,-1.1521546253586858
2017-04-26T21:46:08,Sheffield,Fox/badger tick,Ixodes canisuga,142,53.35153885652369,-1.4461765017027763
2014-04-20T06:15:14,Nottingham,Fox/badger tick,Ixodes canisuga,143,52.99254116422361,-1.179219832899472
2018-02-13T03:59:43,Nottingham,Passerine tick,Dermacentor frontalis,144,52.9644259645809,-1.1676912680878546
2016-12-23T16:11:25,Edinburgh,Marsh tick,Ixodes apronophorus,145,55.90754368300838,-3.1393089676920356
2021-12-23T06:22:50,Birmingham,Tree-hole tick,Ixodes arboricola,146,52.489428990200516,-1.934051475383381
2021-04-03T11:03:10,Glasgow,Passerine tick,Dermacentor frontalis,147,55.81528678052881,-4.282409371576277
2021-09-18T20:32:54,Newcastle,Fox/badger tick,Ixodes canisuga,148,54.930325446256376,-1.6435846639879144
2018-07-19T10:55:53,Manchester,Tree-hole tick,Ixodes arboricola,149,53.48946039557248,-2.222226119320332
2017-07-26T03:07:24,Bristol,Fox/badger tick,Ixodes canisuga,150,51.49399658336808,-2.5471864875175574
2024-03-28T10:11:17,Edinburgh,Passerine tick,Dermacentor frontalis,151,55.95225062769265,-3.1576821545151006
2013-08-08T00:19:41,Glasgow,Passerine tick,Dermacentor frontalis,152,55.83446943332921,-4.266085702360281
2016-09-16T13:43:34,Newcastle,Southern rodent tick,Ixodes acuminatus,153,54.97457011285393,-1.6443309994191948
2012-02-16T21:40:11,Leeds,Marsh tick,Ixodes apronophorus,154,53.80281247820048,-1.5134449437501878
2018-02-05T02:07:04,Nottingham,Marsh tick,Ixodes apronophorus,155,52.96208470201556,-1.1438278658052823
2012-05-19T22:46:19,London,Marsh tick,Ixodes apronophorus,156,51.47566826153533,-0.11836103373441915
2013-06-02T03:26:03,Liverpool,Marsh tick,Ixodes apronophorus,157,53.40509411772289,-3.0180656428176755
2015-10-10T12:46:29,Southampton,Southern rodent tick,Ixodes acuminatus,158,50.870271081860714,-1.4305771889291012
2024-02-22T04:12:55,Edinburgh,Marsh tick,Ixodes apronophorus,159,55.93818024165478,-3.165852148520446
2019-03-04T23:42:49,Leicester,Tree-hole tick,Ixodes arboricola,160,52.653718688587844,-1.150170494881246
2019-11-14T05:14:40,Edinburgh,Tree-hole tick,Ixodes arboricola,161,55.937701941758796,-3.17518641777267
2014-02-23T18:10:15,Liverpool,Passerine tick,Dermacentor frontalis,162,53.3816494760116,-2.9456100611404215
2017-06-24T05:07:19,Sheffield,Marsh tick,Ixodes apronophorus,163,53.38615194249608,-1.5143003028856574
2022-09-09T08:28:02,Newcastle,Passerine tick,Dermacentor frontalis,164,54.97987656030124,-1.6034799073052521
2024-03-10T03:55:02,Sheffield,Passerine tick,Dermacentor frontalis,165,53.358492719179445,-1.4796611141665685
2019-05-14T12:08:58,Glasgow,Marsh tick,Ixodes apronophorus,166,55.876512958158344,-4.2276588449392225
2023-03-14T20:26:58,London,Passerine tick,Dermacentor frontalis,167,51.52581763310976,-0.12490908387171869
2018-10-11T14:16:48,Edinburgh,Passerine tick,Dermacentor frontalis,168,55.94095604245436,-3.2313096351180803
2020-09-21T22:42:54,Newcastle,Marsh tick,Ixodes apronophorus,169,54.93048902006344,-1.6071173626237383
2021-08-24T11:17:32,London,Passerine tick,Dermacentor frontalis,170,51.52526777991875,-0.07055587669722523
2020-11-08T01:01:38,Birmingham,Southern rodent tick,Ixodes acuminatus,171,52.442496704214335,-1.9471181106092983
2013-01-20T17:40:33,Nottingham,Passerine tick,Dermacentor frontalis,172,52.95286467209887,-1.1909782537541247
2018-05-03T13:24:54,Bristol,Passerine tick,Dermacentor frontalis,173,51.45814298137822,-2.5523196368215815
2024-07-08T01:47:29,Manchester,Fox/badger tick,Ixodes canisuga,174,53.518265636592,-2.222184174451125
2022-07-07T19:32:28,Leicester,Fox/badger tick,Ixodes canisuga,175,52.59060333806461,-1.1695473304905637
2016-12-02T11:56:59,Edinburgh,Fox/badger tick,Ixodes canisuga,176,55.931787645302606,-3.2350778694128866
2016-08-13T20:02:49,Liverpool,Tree-hole tick,Ixodes arboricola,177,53.376796136328764,-2.975163500592428
2016-10-28T07:25:41,Nottingham,Tree-hole tick,Ixodes arboricola,178,52.95494163651684,-1.1256005904564799
2018-12-02T08:59:56,Bristol,Tree-hole tick,Ixodes arboricola,179,51.453539761140156,-2.6233718015966283
2021-12-23T03:26:51,London,Fox/badger tick,Ixodes canisuga,180,51.46915755693125,-0.12908631274999977
2023-03-15T08:20:56,Sheffield,Tree-hole tick,Ixodes arboricola,181,53.36263248688369,-1.4843820518160713
2015-12-18T08:09:03,Cardiff,Marsh tick,Ixodes apronophorus,182,51.525521986586405,-3.1363787980061266
2013-02-20T23:08:11,Bristol,Fox/badger tick,Ixodes canisuga,183,51.40883639767396,-2.5757422354405928
2013-06-27T08:24:19,Liverpool,Marsh tick,Ixodes apronophorus,184,53.43827272895335,-2.9983363921815527
2021-04-23T02:05:48,London,Fox/badger tick,Ixodes canisuga,185,51.55000360505034,-0.13889503369775283
2013-08-12T06:50:38,Newcastle,Passerine tick,Dermacentor frontalis,186,54.97108403068565,-1.608030559244916
2012-12-06T21:32:36,Sheffield,Southern rodent tick,Ixodes acuminatus,187,53.3618200907004,-1.4401299134066587
2012-01-15T21:00:06,Nottingham,Southern rodent tick,Ixodes acuminatus,188,52.99995561222593,-1.1846397280773384
2018-07-17T07:49:54,Bristol,Fox/badger tick,Ixodes canisuga,189,51.47893686653696,-2.543642724040575
2019-12-22T13:21:32,Southampton,Southern rodent tick,Ixodes acuminatus,190,50.95579343010787,-1.3721176865101055
2014-01-28T00:35:34,Liverpool,Fox/badger tick,Ixodes canisuga,191,53.44764661003902,-2.9997286398705114
2021-09-08T10:34:25,Newcastle,Marsh tick,Ixodes apronophorus,192,55.00289004641478,-1.5512133440417493
2018-02-09T12:40:57,Nottingham,Fox/badger tick,Ixodes canisuga,193,52.96863744867324,-1.194989423639416
2019-12-14T15:50:15,London,Fox/badger tick,Ixodes canisuga,194,51.515775196982915,-0.15635434733971712
2023-09-05T23:16:06,Edinburgh,Marsh tick,Ixodes apronophorus,195,55.91663328644842,-3.156953200798637
2014-07-31T09:14:28,Nottingham,Tree-hole tick,Ixodes arboricola,196,52.91081897065649,-1.1690028888650306
2012-04-06T02:13:21,Southampton,Marsh tick,Ixodes apronophorus,197,50.865824396658674,-1.401670908168288
2020-08-28T18:36:35,London,Marsh tick,Ixodes apronophorus,198,51.527561696476546,-0.13843406630150487
2019-02-01T18:50:39,Birmingham,Passerine tick,Dermacentor frontalis,199,52.477114171261796,-1.926717162781443
2016-07-09T10:54:45,Liverpool,Tree-hole tick,Ixodes arboricola,200,53.3917136071008,-2.943618943002396
2014-12-29T08:16:15,Leeds,Marsh tick,Ixodes apronophorus,201,53.769209194500824,-1.513621167882608
2022-10-20T12:28:41,Birmingham,Passerine tick,Dermacentor frontalis,202,52.539470524321466,-1.865724469906144
2021-07-16T15:13:50,Edinburgh,Fox/badger tick,Ixodes canisuga,203,55.93717887963653,-3.20010268383737
2012-01-13T01:23:34,Birmingham,Tree-hole tick,Ixodes arboricola,204,52.52381394683732,-1.9474346710365535
2023-06-14T15:51:56,Manchester,Southern rodent tick,Ixodes acuminatus,205,53.52349184030693,-2.245528697044934
2017-10-02T04:10:52,Sheffield,Tree-hole tick,Ixodes arboricola,206,53.38271412672944,-1.5038269522040113
2016-04-17T19:11:02,Manchester,Marsh tick,Ixodes apronophorus,207,53.45988398149961,-2.26459256491164
2012-07-14T23:55:19,Liverpool,Tree-hole tick,Ixodes arboricola,208,53.44897076328769,-2.994739233808449
2012-10-23T09:13:20,Bristol,Marsh tick,Ixodes apronophorus,209,51.468375608552385,-2.5495030645710632
2024-10-14T14:43:33,Bristol,Marsh tick,Ixodes apronophorus,210,51.44751800405809,-2.6127066948802913
2021-04-23T02:05:48,London,Fox/badger tick,Ixodes canisuga,211,51.51016001654777,-0.0914841282498535
2020-12-09T20:00:56,Bristol,Marsh tick,Ixodes apronophorus,212,51.50223131128795,-2.5455015539541295
2016-10-04T18:38:00,Cardiff,Fox/badger tick,Ixodes canisuga,213,51.49489319016577,-3.1826561354999012
2014-07-30T11:55:21,Nottingham,Fox/badger tick,Ixodes canisuga,214,52.92790377250317,-1.1972007169607002
2012-01-17T08:20:07,Nottingham,Passerine tick,Dermacentor frontalis,215,52.90092655933565,-1.170895813642293
2012-11-09T03:28:28,Sheffield,Passerine tick,Dermacentor frontalis,216,53.41183678180601,-1.4736980418187338
2015-12-11T05:56:50,Bristol,Tree-hole tick,Ixodes arboricola,217,51.4269631585762,-2.5390746831776454
2015-06-11T01:55:27,Nottingham,Passerine tick,Dermacentor frontalis,218,52.94769504094093,-1.1443534302814422
2019-03-05T18:51:10,Liverpool,Tree-hole tick,Ixodes arboricola,219,53.43954259693323,-2.9515215817030396
2021-01-12T22:50:15,Sheffield,Tree-hole tick,Ixodes arboricola,220,53.379040149855925,-1.4689233838128737
2014-04-17T00:24:28,Manchester,Fox/badger tick,Ixodes canisuga,221,53.44793624123807,-2.247789873369763
2017-04-23T08:47:35,Liverpool,Fox/badger tick,Ixodes canisuga,222,53.407634941863996,-3.020109311691822
2023-04-05T04:30:23,Sheffield,Southern rodent tick,Ixodes acuminatus,223,53.381182203879476,-1.4751538512508235
2019-04-27T08:32:33,Cardiff,Tree-hole tick,Ixodes arboricola,224,51.48818544105636,-3.216904818266635
2014-01-30T09:52:48,Sheffield,Marsh tick,Ixodes apronophorus,225,53.381132689580916,-1.5038561964844805
2024-04-11T22:17:48,Southampton,Southern rodent tick,Ixodes acuminatus,226,50.93384460673529,-1.4063623699077255
2013-08-15T02:19:32,Edinburgh,Fox/badger tick,Ixodes canisuga,227,55.937264080002436,-3.1613931403908917
2017-02-28T06:31:25,London,Fox/badger tick,Ixodes canisuga,228,51.47194351026147,-0.13312066740827935
2014-05-23T13:45:01,Manchester,Passerine tick,Dermacentor frontalis,229,53.44364929845167,-2.2436077991567474
2015-07-10T00:15:17,Glasgow,Marsh tick,Ixodes apronophorus,230,55.87900661717338,-4.203026813224452
2024-05-25T02:37:06,Leicester,Southern rodent tick,Ixodes acuminatus,231,52.65691530140989,-1.1123153750666863
2014-07-08T04:48:34,Newcastle,Marsh tick,Ixodes apronophorus,232,54.97680764020561,-1.587126150890665
2016-11-23T22:03:59,Leicester,Southern rodent tick,Ixodes acuminatus,233,52.63564399965342,-1.1068312908721856
2015-11-12T21:00:06,Nottingham,Southern rodent tick,Ixodes acuminatus,234,52.9995175469297,-1.1353214422756008
2023-05-05T03:50:06,Sheffield,Passerine tick,Dermacentor frontalis,235,53.42936936834248,-1.452395392482825
2024-06-04T09:15:23,Cardiff,Marsh tick,Ixodes apronophorus,236,51.51957312888637,-3.167937776701384
2023-12-11T13:59:50,Birmingham,Fox/badger tick,Ixodes canisuga,237,52.482247573658775,-1.8834565089376016
2024-05-17T01:38:19,Edinburgh,Passerine tick,Dermacentor frontalis,238,55.954581302095676,-3.2282828908881145
2012-02-25T05:50:29,Bristol,Passerine tick,Dermacentor frontalis,239,51.464892679529235,-2.5788085775423872
2024-10-23T00:29:35,Nottingham,Fox/badger tick,Ixodes canisuga,240,52.95325953426897,-1.1084991348566664
2018-04-08T18:02:41,Cardiff,Passerine tick,Dermacentor frontalis,241,51.499511465385,-3.1881493661473415
2019-03-06T00:31:21,Edinburgh,Southern rodent tick,Ixodes acuminatus,242,55.99004182228465,-3.183355816081001
2020-03-24T17:15:33,Cardiff,Fox/badger tick,Ixodes canisuga,243,51.480053780730735,-3.172147631641979
2022-03-12T05:37:51,Cardiff,Southern rodent tick,Ixodes acuminatus,244,51.52110556720449,-3.1545471412203856
2021-09-09T17:00:29,Bristol,Marsh tick,Ixodes apronophorus,245,51.493740977338085,-2.579292953767825
2019-09-25T13:59:52,Nottingham,Passerine tick,Dermacentor frontalis,246,52.980348951155165,-1.1938753091063967
